0,15,18,122,75,850,114,14,135,850,150,32,58,90
1,39,50,278,75,11,101,65,136,12,348,105,120,366
2,21,26,223,75,825,147,54,135,11,250,52,100,264
3,39,82,407,75,12,140,100,21,25,900,159,169,637
4,37,76,377,75,11,139,108,20,25,900,150,164,623
5,513,900,900,28,11,14,426,6,47,875,582,900,875
6,16,24,174,75,825,62,17,136,22,200,39,85,117
7,875,900,50,39,825,92,900,129,850,38,24,35,81
8,875,900,83,6,825,44,900,127,850,44,900,29,25
9,125,27,548,75,825,132,90,136,850,542,186,145,286
10,900,12,65,75,825,56,900,133,850,166,28,68,122
11,75,39,424,75,13,97,59,136,850,450,166,173,307
12,27,31,364,75,825,154,35,128,26,300,72,144,222
13,51,40,435,75,13,107,67,136,850,542,154,173,381
14,900,15,78,7,825,60,900,130,12,125,24,49,92
15,27,18,268,75,825,76,31,136,875,275,57,108,163
16,875,875,44,75,825,68,900,135,850,21,900,25,12
17,33,66,472,100,850,189,62,136,15,525,68,157,402
18,35,20,299,75,825,151,53,136,42,350,70,129,414
19,900,900,83,75,825,32,900,133,900,13,900,44,36
20,175,200,900,75,19,163,191,136,16,875,328,226,468
21,10,14,122,75,825,70,900,135,875,117,31,54,77
22,10,900,106,100,825,116,14,135,850,100,49,84,174
23,225,425,900,75,22,170,268,23,49,900,487,261,900
24,875,875,47,75,825,52,900,135,850,20,900,20,875
25,875,875,60,75,825,55,900,135,850,25,900,39,16
26,100,277,680,75,14,113,161,12,795,875,180,152,697
27,37,77,363,75,11,137,105,19,26,900,150,166,615
28,875,900,112,100,825,84,900,134,850,100,39,97,168
29,13,47,175,75,825,62,18,136,850,150,28,73,72
30,43,286,855,75,14,116,171,12,525,900,180,147,743
31,10,10,54,75,825,46,900,127,850,52,900,24,23
32,75,76,611,75,13,139,133,137,75,875,188,183,494
33,45,45,397,75,14,101,52,136,11,375,148,149,226
34,875,900,51,6,825,43,900,115,850,36,900,33,33
35,13,21,188,75,825,81,29,136,850,175,60,93,225
36,900,900,42,75,825,33,900,125,875,900,900,12,900
37,20,14,114,6,825,52,12,108,850,125,18,31,82
38,875,11,70,75,825,91,900,136,850,75,900,45,49
39,900,18,49,75,825,37,900,133,850,100,17,16,12
40,21,14,188,75,825,70,18,136,850,200,45,92,143
41,100,100,713,75,14,151,170,136,850,900,261,308,716
42,16,25,234,75,825,46,11,136,850,224,42,134,209
43,37,36,321,75,850,187,53,135,14,475,60,131,388
44,27,64,284,75,825,74,29,137,825,375,89,141,346
45,47,75,568,75,825,134,72,136,15,375,74,120,236
46,900,875,50,75,825,33,900,133,850,23,900,12,14
47,900,900,34,100,850,85,13,136,850,56,17,43,77
48,13,50,124,75,825,83,17,135,850,175,29,86,171
49,75,231,436,75,13,117,98,137,275,800,160,110,365
50,75,33,381,75,13,94,53,136,11,400,142,166,268
51,100,55,637,75,14,144,142,136,850,698,255,212,505
52,875,900,41,75,825,43,900,130,850,900,900,21,875
53,21,20,215,75,850,141,49,135,14,225,54,104,245
54,23,25,402,6,825,124,45,128,850,350,72,125,293
55,18,19,191,75,825,110,37,135,850,175,45,74,169
56,44,19,481,75,825,148,55,135,16,225,75,102,222
57,58,40,523,75,13,116,78,136,18,648,209,203,436
58,20,20,271,6,825,103,26,128,850,125,40,90,168
59,41,48,461,75,850,195,65,135,15,574,72,165,414
60,900,900,70,100,850,20,900,129,875,900,900,11,875
61,900,30,59,75,825,47,900,128,850,900,13,11,875
62,27,17,254,75,825,72,32,136,875,275,54,104,168
63,875,10,70,100,850,102,13,136,850,75,47,73,130
64,900,900,74,75,850,42,900,127,875,14,900,20,17
65,100,182,782,75,19,130,181,10,775,900,197,174,789
66,27,61,291,75,10,121,87,16,20,875,125,149,561
67,34,40,426,75,825,182,42,128,18,400,89,175,288
68,900,18,92,7,825,74,900,130,850,175,21,59,119
69,875,875,44,75,825,65,900,135,850,14,900,24,12
70,200,225,900,75,17,161,225,136,250,900,309,200,578
71,125,27,548,75,825,132,90,136,850,542,186,145,286
72,225,864,900,75,50,191,238,136,24,875,469,211,520
73,39,20,292,75,825,153,56,136,30,300,72,135,455
74,10,25,110,75,850,52,900,136,900,75,20,77,101
75,100,200,722,75,16,154,184,137,75,875,267,197,610
76,875,900,62,6,825,47,900,114,850,40,900,36,38
77,63,25,559,75,12,97,58,136,850,425,113,136,215
78,45,37,559,75,825,108,51,135,26,350,61,83,219
79,125,174,888,75,25,162,297,20,23,900,356,358,875
80,200,895,900,75,50,161,210,10,31,900,610,255,780
81,900,21,76,75,825,51,900,128,850,71,20,36,59
82,10,25,111,75,825,53,900,136,900,75,20,78,103
83,38,21,299,75,825,148,59,136,41,350,78,132,450
84,28,17,274,75,825,78,28,136,850,275,53,104,135
85,22,20,288,6,825,104,31,128,850,125,42,92,175
86,125,150,895,75,50,158,306,22,24,900,370,366,875
87,36,24,479,75,825,132,77,133,14,223,47,130,252
88,900,900,51,75,825,52,900,128,850,14,10,40,49
89,75,33,395,75,14,87,51,136,12,425,157,168,285
90,900,900,135,75,850,74,13,133,875,53,900,60,35
91,13,19,261,6,825,84,35,128,850,250,38,71,245
92,200,425,900,75,23,169,268,23,49,900,485,263,900
93,100,29,614,75,13,118,77,136,14,500,154,153,312
94,43,100,534,75,18,110,123,136,850,868,193,272,826
95,70,70,552,75,19,135,172,136,12,875,229,301,875
96,47,150,220,75,825,99,55,136,50,362,49,92,276
97,225,225,900,75,50,171,386,23,27,900,594,376,875
98,875,900,30,75,850,32,900,134,875,900,900,13,900
99,200,225,900,75,16,155,210,136,275,875,302,204,635
100,11,13,58,75,825,44,900,131,875,75,13,30,36
101,100,100,831,75,17,132,179,26,24,900,263,192,594
102,55,200,445,75,11,109,124,137,225,825,175,122,442
103,13,10,142,75,825,101,20,135,875,125,36,66,105
104,13,10,96,100,825,142,26,136,850,100,59,71,200
105,28,76,308,75,11,122,91,14,22,900,122,154,593
106,125,175,854,75,15,154,126,136,11,794,271,201,350
107,13,13,146,75,825,103,19,134,900,125,31,65,97
108,19,10,109,6,825,47,12,108,850,125,13,32,74
109,225,275,900,75,15,173,244,12,225,900,328,204,575
110,38,158,330,75,11,100,109,137,34,725,141,124,376
111,56,26,497,75,12,98,40,136,850,373,73,112,149
112,875,900,83,6,825,44,900,127,850,44,900,29,25
113,875,16,101,100,850,55,900,135,850,22,900,30,11
114,150,229,878,75,13,146,163,137,400,900,258,178,746
115,38,79,389,75,10,130,93,19,25,875,151,166,611
116,16,30,274,75,825,84,30,132,875,200,11,29,86
117,24,39,422,75,825,86,33,136,850,300,56,96,105
118,23,83,414,75,10,76,70,136,27,563,53,78,182
119,875,25,102,75,825,50,900,136,900,75,20,76,100
120,900,900,45,75,825,42,900,132,875,17,900,14,900
121,12,24,74,75,825,36,900,133,850,61,12,43,19
122,900,900,64,75,825,26,900,133,875,900,900,32,33
123,75,39,429,75,13,101,59,136,14,475,170,176,312
124,75,112,623,75,825,124,131,137,550,810,175,142,529
125,875,900,86,20,825,85,16,135,875,100,82,40,70
126,175,175,895,75,14,155,152,136,15,825,277,207,433
127,900,13,45,75,825,27,900,132,850,10,900,13,900
128,900,17,81,7,825,65,900,130,12,125,24,50,92
129,45,25,526,75,825,164,75,135,20,300,82,118,274
130,200,225,900,75,16,163,212,136,275,875,307,202,656
131,21,19,204,75,850,127,47,135,15,200,53,105,234
132,10,25,108,75,825,50,900,136,900,75,20,77,101
133,75,32,461,75,825,134,77,136,850,500,165,136,251
134,22,15,191,75,825,69,18,136,850,200,45,91,136
135,200,493,900,75,50,199,263,136,24,900,440,211,492
136,28,17,277,75,825,77,33,136,875,300,58,108,171
